"Temperature","Rho 1","Rho 2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
35.613,1,0.001,1,0.048384,0.125,0.075,0.20762
35.908,1,0.001,1,0.04864,0.125,0.075,0.20736
36.203,1,0.001,1,0.048896,0.125,0.075,0.2071
36.497,1,0.001,1,0.049152,0.125,0.075,0.20685
36.792,1,0.001,1,0.049408,0.125,0.075,0.20659
37.087,1,0.001,1,0.049664,0.125,0.075,0.20634
37.382,1,0.001,1,0.04992,0.125,0.075,0.20608
37.676,1,0.001,1,0.050176,0.125,0.075,0.20582
37.971,1,0.001,1,0.050432,0.125,0.075,0.20557
38.266,1,0.001,1,0.050688,0.125,0.075,0.20531
38.56,1,0.001,1,0.050944,0.125,0.075,0.20506
38.855,1,0.001,1,0.0512,0.125,0.075,0.2048
39.119,1,0.001,1,0.051456,0.125,0.075,0.20454
39.383,1,0.001,1,0.051712,0.125,0.075,0.20429
39.646,1,0.001,1,0.051968,0.125,0.075,0.20403
39.91,1,0.001,1,0.052224,0.125,0.075,0.20378
40.174,1,0.001,1,0.05248,0.125,0.075,0.20352
40.437,1,0.001,1,0.052736,0.125,0.075,0.20326
40.701,1,0.001,1,0.052992,0.125,0.075,0.20301
40.965,1,0.001,1,0.053248,0.125,0.075,0.20275
41.229,1,0.001,1,0.053504,0.125,0.075,0.2025
41.492,1,0.001,1,0.05376,0.125,0.075,0.20224
41.756,1,0.001,1,0.054016,0.125,0.075,0.20198
42.02,1,0.001,1,0.054272,0.125,0.075,0.20173
42.283,1,0.001,1,0.054528,0.125,0.075,0.20147
42.547,1,0.001,1,0.054784,0.125,0.075,0.20122
42.811,1,0.001,1,0.05504,0.125,0.075,0.20096
43.075,1,0.001,1,0.055296,0.125,0.075,0.2007
43.338,1,0.001,1,0.055552,0.125,0.075,0.20045
43.602,1,0.001,1,0.055808,0.125,0.075,0.20019
43.866,1,0.001,1,0.056064,0.125,0.075,0.19994
44.129,1,0.001,1,0.05632,0.125,0.075,0.19968
44.393,1,0.001,1,0.056576,0.125,0.075,0.19942
44.657,1,0.001,1,0.056832,0.125,0.075,0.19917
44.921,1,0.001,1,0.057088,0.125,0.075,0.19891
45.184,1,0.001,1,0.057344,0.125,0.075,0.19866
45.448,1,0.001,1,0.0576,0.125,0.075,0.1984
45.712,1,0.001,1,0.057856,0.125,0.075,0.19814
45.975,1,0.001,1,0.058112,0.125,0.075,0.19789
46.239,1,0.001,1,0.058368,0.125,0.075,0.19763
46.503,1,0.001,1,0.058624,0.125,0.075,0.19738
46.767,1,0.001,1,0.05888,0.125,0.075,0.19712
47.03,1,0.001,1,0.059136,0.125,0.075,0.19686
47.294,1,0.001,1,0.059392,0.125,0.075,0.19661
47.558,1,0.001,1,0.059648,0.125,0.075,0.19635
47.821,1,0.001,1,0.059904,0.125,0.075,0.1961
48.085,1,0.001,1,0.06016,0.125,0.075,0.19584
48.349,1,0.001,1,0.060416,0.125,0.075,0.19558
48.613,1,0.001,1,0.060672,0.125,0.075,0.19533
48.876,1,0.001,1,0.060928,0.125,0.075,0.19507
49.14,1,0.001,1,0.061184,0.125,0.075,0.19482
49.404,1,0.001,1,0.06144,0.125,0.075,0.19456
49.632,1,0.001,1,0.061696,0.125,0.075,0.1943
49.86,1,0.001,1,0.061952,0.125,0.075,0.19405
