"Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.021678,3.6442e-05,1,0,50.108,0,0,-1,1,0.021248,0.125,0.075,0.23475
0.021678,3.6442e-05,1,0,50.469,0,0,-1,1,0.021504,0.125,0.075,0.2345
0.021678,3.6442e-05,1,0,50.83,0,0,-1,1,0.02176,0.125,0.075,0.23424
0.021678,3.6442e-05,1,0,51.191,0,0,-1,1,0.022016,0.125,0.075,0.23398
0.021678,3.6442e-05,1,0,51.552,0,0,-1,1,0.022272,0.125,0.075,0.23373
0.021678,3.6442e-05,1,0,51.914,0,0,-1,1,0.022528,0.125,0.075,0.23347
0.021678,3.6442e-05,1,0,52.275,0,0,-1,1,0.022784,0.125,0.075,0.23322
0.021678,3.6442e-05,1,0,52.636,0,0,-1,1,0.02304,0.125,0.075,0.23296
0.021678,3.6442e-05,1,0,52.997,0,0,-1,1,0.023296,0.125,0.075,0.2327
0.021678,3.6442e-05,1,0,53.358,0,0,-1,1,0.023552,0.125,0.075,0.23245
0.021678,3.6442e-05,1,0,53.719,0,0,-1,1,0.023808,0.125,0.075,0.23219
0.021678,3.6442e-05,1,0,54.081,0,0,-1,1,0.024064,0.125,0.075,0.23194
0.021678,3.6442e-05,1,0,54.442,0,0,-1,1,0.02432,0.125,0.075,0.23168
0.021678,3.6442e-05,1,0,54.803,0,0,-1,1,0.024576,0.125,0.075,0.23142
0.021678,3.6442e-05,1,0,55.164,0,0,-1,1,0.024832,0.125,0.075,0.23117
0.021678,3.6442e-05,1,0,55.525,0,0,-1,1,0.025088,0.125,0.075,0.23091
0.021678,3.6442e-05,1,0,55.887,0,0,-1,1,0.025344,0.125,0.075,0.23066
0.021678,3.6442e-05,1,0,56.248,0,0,-1,1,0.0256,0.125,0.075,0.2304
0.021678,3.6442e-05,1,0,56.609,0,0,-1,1,0.025856,0.125,0.075,0.23014
0.021678,3.6442e-05,1,0,56.97,0,0,-1,1,0.026112,0.125,0.075,0.22989
0.021678,3.6442e-05,1,0,57.331,0,0,-1,1,0.026368,0.125,0.075,0.22963
0.021678,3.6442e-05,1,0,57.693,0,0,-1,1,0.026624,0.125,0.075,0.22938
0.021678,3.6442e-05,1,0,58.054,0,0,-1,1,0.02688,0.125,0.075,0.22912
0.021678,3.6442e-05,1,0,58.415,0,0,-1,1,0.027136,0.125,0.075,0.22886
0.021678,3.6442e-05,1,0,58.776,0,0,-1,1,0.027392,0.125,0.075,0.22861
0.021678,3.6442e-05,1,0,59.137,0,0,-1,1,0.027648,0.125,0.075,0.22835
